Text	Sentiment	Probability
the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . 	Negative	98
it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . 	Positive	81
in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . 	Negative	98
no way i can believe this load of junk . 	Negative	98
there is a fabric of complex ideas here , and feelings that profoundly deepen them . 	Positive	99
this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country . 	Positive	98
not only unfunny , but downright repellent . 	Negative	99
works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . 	Negative	99
just one bad idea after another . 	Negative	99
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . 	Negative	99
his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . 	Negative	96
( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . 	Positive	99
a swashbuckling tale of love , betrayal , revenge and above all , faith . 	Positive	99
for movie lovers as well as opera lovers , tosca is a real treat . 	Positive	99
the film is quiet , threatening and unforgettable . 	Positive	94
there is no pleasure in watching a child suffer . 	Negative	98
jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . 	Negative	77
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . 	Negative	98
( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . 	Negative	84
displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential . 	Positive	99
` easily my choice for one of the year 's best films . ' 	Positive	98
a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . 	Negative	99
as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . 	Positive	99
it 's a grab bag of genres that do n't add up to a whole lot of sense . 	Negative	99
instead of hiding pinocchio from critics , miramax should have hidden it from everyone . 	Negative	92
portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . 	Positive	81
altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . 	Positive	99
there has always been something likable about the marquis de sade . 	Positive	99
the humor is forced and heavy-handed , and occasionally simply unpleasant . 	Negative	98
without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality . 	Positive	99
partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show . 	Negative	99
for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions . 	Positive	98
the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . 	Positive	96
not since freddy got fingered has a major release been so painful to sit through . 	Negative	98
the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . 	Negative	99
we have n't seen such hilarity since say it is n't so ! 	Negative	68
to call the other side of heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be . 	Negative	88
nothing is sacred in this gut-buster . 	Negative	76
feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot . 	Negative	99
tries to add some spice to its quirky sentiments but the taste is all too familiar . 	Negative	99
at its worst , it implodes in a series of very bad special effects . 	Negative	99
with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises . 	Positive	99
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 	Negative	92
a warm but realistic meditation on friendship , family and affection . 	Positive	99
at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential . 	Negative	98
while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these . 	Negative	85
it 's a remarkably solid and subtly satirical tour de force . 	Positive	99
director andrew niccol ... demonstrates a wry understanding of the quirks of fame . 	Positive	99
when leguizamo finally plugged an irritating character late in the movie . 	Negative	97
thekids will probably stay amused at the kaleidoscope of big , colorful characters . 	Positive	98
mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . 	Negative	99
... plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller . 	Negative	99
an overemphatic , would-be wacky , ultimately tedious sex farce . 	Negative	94
it all adds up to good fun . 	Positive	99
whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting . 	Positive	97
another in-your-face wallow in the lower depths made by people who have never sung those blues . 	Negative	68
a very well-made , funny and entertaining picture . 	Positive	99
it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children . 	Positive	99
despite its title , punch-drunk love is never heavy-handed . 	Positive	89
if director michael dowse only superficially understands his characters , he does n't hold them in contempt . 	Positive	89
it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . 	Positive	98
the film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine 	Positive	94
however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust . 	Negative	98
as vulgar as it is banal . 	Negative	99
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . 	Positive	99
outer-space buffs might love this film , but others will find its pleasures intermittent . 	Negative	59
maud and roland 's search for an unknowable past makes for a haunting literary detective story , but labute pulls off a neater trick in possession : he makes language sexy . 	Positive	81
more whiny downer than corruscating commentary . 	Negative	97
there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . 	Negative	99
it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue . 	Negative	99
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts . 	Positive	98
i do n't mind having my heartstrings pulled , but do n't treat me like a fool . 	Positive	68
the movie 's accumulated force still feels like an ugly knot tightening in your stomach . 	Negative	86
at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . 	Negative	99
it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . 	Positive	98
an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length . 	Positive	99
a giggle a minute . 	Positive	81
uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity . 	Positive	99
the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained . 	Positive	95
i 'm just too bored to care . 	Negative	99
one of the more irritating cartoons you will see this , or any , year . 	Negative	98
it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . 	Positive	97
it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . 	Negative	91
i am sorry that i was unable to get the full brunt of the comedy . 	Negative	72
a good piece of work more often than not . 	Positive	99
while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor . 	Positive	99
charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . 	Positive	99
an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order 	Positive	99
beautifully observed , miraculously unsentimental comedy-drama . 	Positive	98
the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style . 	Negative	99
a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters . 	Positive	99
should have been someone else - 	Negative	95
coughs and sputters on its own postmodern conceit . 	Negative	97
the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger . 	Positive	51
almost gags on its own gore . 	Negative	97
a marvel like none you 've seen . 	Positive	97
trite , banal , cliched , mostly inoffensive . 	Negative	99
immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch . 	Positive	99
the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture , the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults . 	Positive	99
yakusho and shimizu ... create engaging characterizations in imamura 's lively and enjoyable cultural mix . 	Positive	99
this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . 	Positive	69
there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill . 	Negative	90
the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy . 	Negative	97
good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . 	Positive	99
the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes 	Negative	95
even in its most tedious scenes , russian ark is mesmerizing . 	Positive	99
with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap . 	Positive	75
generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . 	Positive	93
something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously . 	Positive	56
oh come on . 	Positive	62
a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate . 	Positive	99
not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . 	Positive	99
it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination . 	Negative	99
( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . 	Positive	98
even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . 	Negative	79
( chaiken 's ) talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters . 	Positive	99
sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . 	Negative	91
it inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ' 	Positive	99
featuring a dangerously seductive performance from the great daniel auteuil , `` sade '' covers the same period as kaufmann 's `` quills '' with more unsettlingly realistic results . 	Positive	98
gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive . 	Positive	99
if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then esther 's story is a compelling quest for truth . 	Positive	99
it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . 	Negative	96
yes , dull . 	Negative	99
some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny . 	Negative	99
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . 	Negative	86
shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . 	Negative	96
the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end . 	Positive	97
ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid . 	Positive	99
the characters are interesting and often very creatively constructed from figure to backstory . 	Positive	99
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines . 	Negative	99
reggio 's continual visual barrage is absorbing as well as thought-provoking . 	Positive	99
adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . 	Negative	99
you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report . 	Positive	97
thanks to haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act . 	Positive	99
the problem with this film is that it lacks focus . 	Negative	99
belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film . 	Positive	99
involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters . 	Negative	99
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . 	Negative	82
a by-the-numbers patient/doctor pic that covers all the usual ground 	Negative	50
it 's a stunning lyrical work of considerable force and truth . 	Positive	99
while undisputed is n't exactly a high , it is a gripping , tidy little movie that takes mr. hill higher than he 's been in a while . 	Positive	99
funny but perilously slight . 	Positive	77
cq 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors . 	Positive	97
even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch . 	Positive	98
dazzling in its complexity , disturbing for its extraordinary themes , the piano teacher is a film that defies categorisation . 	Positive	98
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 . 	Positive	99
the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work . 	Negative	99
( e ) ventually , every idea in this film is flushed down the latrine of heroism . 	Negative	95
a cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore . 	Positive	98
it 's dumb , but more importantly , it 's just not scary . 	Negative	99
detox is ultimately a pointless endeavor . 	Negative	99
as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . 	Negative	98
an exquisitely crafted and acted tale . 	Positive	99
this is so bad . 	Negative	99
it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . 	Negative	81
light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection . 	Positive	84
it 's about following your dreams , no matter what your parents think . 	Positive	89
the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . 	Negative	90
anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity . 	Positive	99
unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . 	Positive	96
a sequel that 's much too big for its britches . 	Negative	99
harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . 	Negative	98
deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness . 	Negative	99
dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . 	Negative	98
the film is powerful , accessible and funny . 	Positive	99
and that 's a big part of why we go to the movies . 	Positive	98
crackerjack entertainment -- nonstop romance , music , suspense and action . 	Positive	99
the minor figures surrounding ( bobby ) ... form a gritty urban mosaic . 	Positive	99
a poignant and compelling story about relationships , food of love takes us on a bumpy but satisfying journey of the heart . 	Positive	99
a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . 	Positive	65
the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination . 	Positive	90
lapaglia 's ability to convey grief and hope works with weaver 's sensitive reactions to make this a two-actor master class . 	Positive	99
villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . 	Negative	99
care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . 	Negative	95
this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic . 	Positive	99
if looking for a thrilling sci-fi cinematic ride , do n't settle for this imposter . 	Negative	91
plays like a volatile and overlong w magazine fashion spread . 	Negative	99
not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . 	Positive	85
michael gerbosi 's script is economically packed with telling scenes . 	Positive	98
moretti 's compelling anatomy of grief and the difficult process of adapting to loss . 	Positive	99
so refreshingly incisive is grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor . 	Positive	91
comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . 	Negative	99
it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death . 	Negative	99
a romantic comedy enriched by a sharp eye for manners and mores . 	Positive	99
the fly-on-the-wall method used to document rural french school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work . 	Positive	98
rare birds has more than enough charm to make it memorable . 	Positive	99
it 's a bit disappointing that it only manages to be decent instead of dead brilliant . 	Negative	91
it has all the excitement of eating oatmeal . 	Negative	60
it haunts , horrifies , startles and fascinates ; it is impossible to look away . 	Positive	98
for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one . 	Negative	97
a superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate . 	Positive	99
( t ) here 's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them . 	Negative	97
for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener . 	Positive	94
`` mostly martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see . 	Positive	99
i just loved every minute of this film . 	Positive	99
a quiet , pure , elliptical film 	Positive	99
a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers . 	Negative	97
a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . 	Positive	99
it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction . 	Negative	99
do not see this film . 	Negative	97
binoche makes it interesting trying to find out . 	Positive	97
the most compelling wiseman epic of recent years . 	Positive	99
there 's no emotional pulse to solaris . 	Negative	93
for each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike tara reid , whose acting skills are comparable to a cardboard cutout . 	Negative	87
although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . 	Positive	81
from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie . 	Negative	99
on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . 	Negative	73
the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner . 	Negative	98
i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . 	Negative	95
a coarse and stupid gross-out . 	Negative	99
... nothing scary here except for some awful acting and lame special effects . 	Negative	99
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay . 	Negative	85
here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep . 	Negative	98
so unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` safe ! ' 	Positive	99
it treats women like idiots . 	Negative	99
... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments . 	Negative	99
but it 's too long and too convoluted and it ends in a muddle . 	Negative	99
one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece . 	Positive	99
although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . 	Positive	96
if the first men in black was money , the second is small change . 	Negative	76
do n't be fooled by the impressive cast list - eye see you is pure junk . 	Negative	72
another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better . 	Negative	87
scorsese does n't give us a character worth giving a damn about . 	Negative	99
with rabbit-proof fence , noyce has tailored an epic tale into a lean , economical movie . 	Positive	99
the plot convolutions ultimately add up to nothing more than jerking the audience 's chain . 	Negative	99
there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness . 	Positive	99
does little more than play an innocuous game of fill-in - the-blanks with a tragic past . 	Negative	99
feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . 	Positive	99
it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . 	Negative	99
one of those energetic surprises , an original that pleases almost everyone who sees it . 	Positive	99
seldahl 's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness . 	Positive	99
passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards . 	Negative	91
the film 's tone and pacing are off almost from the get-go . 	Negative	99
lovely and poignant . 	Positive	99
a broad , melodramatic estrogen opera that 's pretty toxic in its own right . 	Negative	98
( director ) o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short . 	Negative	84
offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm . 	Negative	99
though only 60 minutes long , the film is packed with information and impressions . 	Positive	99
just not campy enough 	Negative	98
every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . 	Positive	79
it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that . 	Positive	89
it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . 	Negative	99
despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults . 	Negative	72
it 's just filler . 	Negative	98
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . 	Negative	83
one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . 	Negative	98
the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original . 	Negative	99
director uwe boll and the actors provide scant reason to care in this crude '70s throwback . 	Negative	98
... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should know . 	Positive	98
if your taste runs to ` difficult ' films you absolutely ca n't miss it . 	Positive	95
this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work . 	Negative	99
i got a headache watching this meaningless downer . 	Negative	99
zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight . 	Negative	99
the terrific and bewilderingly underrated campbell scott gives a star performance that is nothing short of mesmerizing . 	Positive	99
building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise . 	Positive	99
all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that . 	Negative	97
the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . 	Negative	80
visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide treasure planet entirely and completely reimagine it . 	Negative	76
nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . 	Negative	99
big fat waste of time . 	Negative	99
professionally speaking , it 's tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller . 	Negative	91
fancy a real downer ? 	Negative	84
instead , he shows them the respect they are due . 	Positive	87
first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film . 	Positive	99
vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 	Positive	91
puts a human face on a land most westerners are unfamiliar with . 	Positive	99
makes for a pretty unpleasant viewing experience . 	Negative	98
ahhhh ... revenge is sweet ! 	Positive	96
highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up . 	Positive	93
nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head . 	Positive	98
like you could n't smell this turkey rotting from miles away . 	Negative	96
the performances take the movie to a higher level . 	Positive	99
davis ... is so enamored of her own creation that she ca n't see how insufferable the character is . 	Negative	74
... takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport 	Positive	99
against all odds in heaven and hell , it creeped me out just fine . 	Positive	97
as the latest bid in the tv-to-movie franchise game , i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor . 	Negative	57
there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache . 	Positive	99
the so-inept - it 's - surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks . 	Positive	55
without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers . 	Negative	96
an unclassifiably awful study in self - and audience-abuse . 	Negative	99
the moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess 's home video of their baby 's birth . 	Negative	97
kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth . 	Positive	99
few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands . 	Positive	99
it is amusing , and that 's all it needs to be . 	Positive	94
challenging , intermittently engrossing and unflaggingly creative . 	Positive	96
for the most part stevens glides through on some solid performances and witty dialogue . 	Positive	99
this flick is about as cool and crowd-pleasing as a documentary can get . 	Negative	94
nervous breakdowns are not entertaining . 	Negative	99
writer-director 's mehta 's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres . 	Positive	99
excessive , profane , packed with cartoonish violence and comic-strip characters . 	Negative	64
a taut psychological thriller that does n't waste a moment of its two-hour running time . 	Positive	98
burns never really harnesses to full effect the energetic cast . 	Negative	98
just embarrassment and a vague sense of shame . 	Negative	99
still , as a visual treat , the film is almost unsurpassed . 	Positive	54
harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness . 	Positive	99
or emptying rat traps . 	Negative	96
offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends . 	Positive	99
the piquant story needs more dramatic meat on its bones . 	Negative	98
my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it 's virtually its own hollywood remake . 	Positive	98
indifferently implausible popcorn programmer of a movie . 	Negative	99
an important movie , a reminder of the power of film to move us and to make us examine our values . 	Positive	99
the magic of the film lies not in the mysterious spring but in the richness of its performances . 	Positive	99
this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against . 	Negative	98
the jabs it employs are short , carefully placed and dead-center . 	Positive	52
while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious . 	Positive	99
the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate . 	Positive	82
the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . 	Positive	89
too much of the humor falls flat . 	Negative	99
further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of dubya 's axis of evil . 	Positive	81
the film 's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency . 	Negative	99
too slow , too long and too little happens . 	Negative	99
due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . 	Negative	99
very bad . 	Negative	99
a lackluster , unessential sequel to the classic disney adaptation of j.m. barrie 's peter pan . 	Negative	99
a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . 	Negative	99
birthday girl is an amusing joy ride , with some surprisingly violent moments . 	Positive	99
so much facile technique , such cute ideas , so little movie . 	Negative	88
expect the same-old , lame-old slasher nonsense , just with different scenery . 	Negative	98
a smart , witty follow-up . 	Positive	99
chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama . 	Negative	79
like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well . 	Positive	98
it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism . 	Negative	99
there 's not enough here to justify the almost two hours . 	Negative	99
it will grip even viewers who are n't interested in rap , as it cuts to the heart of american society in an unnerving way . 	Positive	99
the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan 's madness . 	Positive	96
and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins . 	Positive	78
richard gere and diane lane put in fine performances as does french actor oliver martinez . 	Positive	99
good film , but very glum . 	Positive	60
there are plot holes big enough for shamu the killer whale to swim through . 	Negative	98
preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment . 	Positive	99
verbinski implements every hack-artist trick to give us the ooky-spookies . 	Negative	62
two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated . 	Positive	97
in all , this is a watchable movie that 's not quite the memorable experience it might have been . 	Negative	87
drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . 	Negative	60
